sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
AF484518.1_59-142	AB081217.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
X00190.1_1-118	X06834.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
D14853.1_9321-9357	AB057604.1_1720-1756	foldalign	1.000	1.000	1.000	1.000	1.000
AE016745.1_287368-287470	AP003193.2_95783-95678	foldalign	1.000	1.000	1.000	1.000	1.000
AY434111.1_2-296	AY232739.1_1-354	foldalign	0.691	0.707	0.699	0.697	0.697
L34380.1_1-279	Z36518.1_1-205	foldalign	0.000	0.000	0.000	0.000	-0.008
AJ229062.1_241-389	M86760.1_218-371	foldalign	1.000	1.000	1.000	1.000	1.000
M74160.1_2030-2100	X60981.1_3261-3348	foldalign	0.478	0.478	0.478	0.461	0.461
AY519023.1_46-97	AF457070.1_1284-1335	foldalign	1.000	1.000	1.000	1.000	1.000
AY451114.1_148-231	U29421.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
M68929.1_174348-174275	K01637.1_819-890	foldalign	0.955	1.000	0.977	0.976	0.976
Z30940.1_469-494	X13236.1_1000-1025	foldalign	1.000	1.000	1.000	1.000	1.000
X03715.1_589-662	M20972.1_1-72	foldalign	1.000	1.000	1.000	1.000	1.000
X67706.1_7281-7402	D10582.1_4105-4224	foldalign	0.000	0.000	0.000	0.000	-0.012
L29581.1_2-237	Z84212.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.008
AB081206.1_65-148	AY451180.1_148-231	foldalign	1.000	1.000	1.000	1.000	1.000
AF286223.1_8864-8920	AF063176.1_457-513	foldalign	1.000	1.000	1.000	1.000	1.000
AY190422.1_1-181	Z36521.1_1-205	foldalign	0.000	0.000	0.000	0.000	-0.012
M16533.1_3-118	L08503.1_3-117	foldalign	0.436	0.436	0.436	0.424	0.424
AP002998.2_95169-95056	AF269819.1_1816-1718	foldalign	0.303	0.303	0.303	0.283	0.283
U38284.1_1-202	AY188142.1_2-196	foldalign	0.000	0.000	0.000	0.000	-0.013
AF063153.1_455-511	U72077.1_331-387	foldalign	0.682	0.682	0.682	0.669	0.669
X72895.1_1-72	X52392.1_16177-16108	foldalign	0.870	1.000	0.935	0.930	0.930
AB074076.1_1320-1371	U53654.1_165-216	foldalign	1.000	1.000	1.000	1.000	1.000
AY206654.1_1296-1347	AB078705.1_1281-1332	foldalign	1.000	1.000	1.000	1.000	1.000
AP005030.1_142199-142427	AE017252.1_282498-282294	foldalign	0.152	0.156	0.154	0.142	0.142
Z84249.1_1-250	AF041309.1_1-191	foldalign	0.875	0.836	0.855	0.854	0.854
AL831748.7_183565-183511	AB001853.1_106-160	foldalign	1.000	1.000	1.000	1.000	1.000
AJ005322.1_56-3	AJ550908.1_281-334	foldalign	1.000	1.000	1.000	1.000	1.000
X67494.1_1-118	K02349.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AF042100.1_691-809	U69593.1_240-356	foldalign	0.343	0.353	0.348	0.338	0.338
Z00044.1_12700-12613	U77945.1_1848-1919	foldalign	0.500	0.483	0.491	0.462	0.462
AB087258.1_15478-15568	AP004597.1_219374-219477	foldalign	0.000	0.000	0.000	0.000	-0.019
M35394.1_1-119	AE000559.1_152-269	foldalign	0.921	0.921	0.921	0.919	0.919
X51379.1_254-444	M72891.1_1-196	foldalign	0.000	0.000	0.000	0.000	-0.011
AF196743.1_456-511	AF462790.1_738-793	foldalign	1.000	1.000	1.000	1.000	1.000
AE009471.1_6144-5974	AE016755.1_79951-79852	foldalign	0.000	0.000	0.000	0.000	-0.019
U81470.1_412-510	AF408631.1_36-134	foldalign	1.000	1.000	1.000	1.000	1.000
AF024164.1_90-141	AF289550.1_1462-1513	foldalign	1.000	1.000	1.000	1.000	1.000
AE007285.1_6659-6583	AJ011856.1_26154-26228	foldalign	0.621	0.720	0.670	0.654	0.654
AY165233.1_239-290	AY492770.1_846-897	foldalign	1.000	1.000	1.000	1.000	1.000
AF457057.1_1284-1335	AF457073.1_1272-1323	foldalign	1.000	1.000	1.000	1.000	1.000
M68929.1_186579-186500	AB042240.3_84552-84472	foldalign	0.000	0.000	0.000	0.000	-0.029
X15929.1_1-194	X55772.1_223-412	foldalign	0.576	0.557	0.567	0.562	0.562
X63783.1_1396-1555	X06809.1_232-391	foldalign	0.000	0.000	0.000	0.000	-0.019
AE014230.1_102-191	BX572604.1_199848-199986	foldalign	0.200	0.208	0.204	0.184	0.184
AY451098.1_148-231	AB070352.1_871-954	foldalign	1.000	1.000	1.000	1.000	1.000
AB090330.1_380-279	AE007783.1_7014-6904	foldalign	0.971	0.971	0.971	0.970	0.970
AF453527.1_509-565	AF063177.1_455-511	foldalign	1.000	1.000	1.000	1.000	1.000
AY371164.1_59-142	AF281762.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.024
AE014727.1_1898-2035	AP005347.1_94118-94281	foldalign	0.000	0.000	0.000	0.000	-0.037
AF165049.1_1-379	AY190489.1_1-181	foldalign	0.500	0.450	0.475	0.469	0.469
AL596173.1_263872-263770	AP001119.1_183536-183440	foldalign	0.000	0.000	0.000	0.000	-0.035
AP003187.2_61536-61648	AE014915.1_3159-3261	foldalign	1.000	1.000	1.000	1.000	1.000
AY070184.1_1-277	Z84235.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.009
M64226.1_1117-1230	U45979.1_1659-1772	foldalign	0.000	0.000	0.000	0.000	-0.019
AY173957.1_8891-8947	AY047305.1_454-510	foldalign	1.000	1.000	1.000	1.000	1.000
AP003187.2_61536-61648	AE005906.1_7630-7499	foldalign	0.571	0.556	0.563	0.553	0.553
AE016748.1_54065-53923	AL939123.1_278050-277936	foldalign	0.080	0.083	0.082	0.051	0.051
AF165045.1_9306-9342	D49773.1_1041-1076	foldalign	1.000	1.000	1.000	1.000	1.000
AF499637.1_391-642	AF231763.1_393-644	foldalign	0.000	0.000	0.000	0.000	-0.007
X15929.1_1-194	S72337.1_1-193	foldalign	0.937	0.922	0.929	0.928	0.928
AF499635.1_1-91	AF499642.1_1-91	foldalign	1.000	1.000	1.000	1.000	1.000
AF457060.1_8744-8799	AF000540.1_156-212	foldalign	1.000	1.000	1.000	1.000	1.000
AE001298.1_7270-7169	AP003006.2_282610-282707	foldalign	0.171	0.194	0.182	0.159	0.159
D16387.1_11397-11328	AB031215.1_9125-9195	foldalign	0.957	1.000	0.978	0.977	0.977
AE007614.1_6196-6300	U36379.1_1-106	foldalign	0.633	0.704	0.669	0.660	0.660
M36312.1_2-120	M10817.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AF072692.1_240-358	S73542.1_3-119	foldalign	0.763	0.763	0.763	0.757	0.757
AL935286.14_10859-10807	BX664748.7_33440-33386	foldalign	1.000	1.000	1.000	1.000	1.000
AY371170.1_59-142	AY037272.1_59-142	foldalign	0.000	0.000	0.000	0.000	-0.018
AE012210.1_5968-5859	AE017005.1_149900-149799	foldalign	0.000	0.000	0.000	0.000	-0.027
D00559.1_56-142	M89651.1_39808-39722	foldalign	0.000	0.000	0.000	0.000	-0.030
AL445564.1_265255-265358	AE016978.1_72938-72839	foldalign	0.345	0.357	0.351	0.332	0.332
K00784.1_2-107	X52528.1_449-551	foldalign	0.931	0.931	0.931	0.930	0.930
AB031211.1_8065-8137	L07095.1_5327-5261	foldalign	0.773	0.850	0.811	0.802	0.802
K00228.1_1-82	AF008220.1_7169-7240	foldalign	0.429	0.429	0.429	0.411	0.411
AY188164.1_2-196	Z77064.1_1-197	foldalign	1.000	1.000	1.000	1.000	1.000
AJ404325.1_65-148	AF484498.1_59-142	foldalign	1.000	1.000	1.000	1.000	1.000
AF207770.1_9114-9179	AF356827.1_9126-9191	foldalign	1.000	1.000	1.000	1.000	1.000
X13975.1_2575-2637	X51423.1_1802-1874	foldalign	1.000	1.000	1.000	1.000	1.000
L76407.1_391-643	U57056.1_393-644	foldalign	0.000	0.000	0.000	0.000	-0.008
AE007380.1_3446-3534	BX248354.1_27456-27566	foldalign	0.000	0.000	0.000	0.000	-0.025
AF179368.1_1390-1441	AY518944.1_46-97	foldalign	1.000	1.000	1.000	1.000	1.000
X61065.1_77-164	AF340025.1_630-698	foldalign	1.000	1.000	1.000	1.000	1.000
AE005405.1_41-163	AE012070.1_1125-1243	foldalign	0.950	1.000	0.975	0.974	0.974
AK119882.1_1-98	AP003187.2_239890-239991	foldalign	0.000	0.000	0.000	0.000	-0.018
AF033819.3_1631-1682	AY181079.1_46-97	foldalign	1.000	1.000	1.000	1.000	1.000
AF282963.1_1-52	AY535715.1_171-222	foldalign	1.000	1.000	1.000	1.000	1.000
L36897.1_2659-2743	AB027572.1_1941-1862	foldalign	0.560	0.500	0.530	0.510	0.510
D00625.1_4443-4503	AJ295172.1_4347-4407	foldalign	1.000	1.000	1.000	1.000	1.000
AF024423.1_123-174	AB078691.1_1281-1332	foldalign	1.000	1.000	1.000	1.000	1.000
AJ550911.1_282-335	AJ005303.1_56-3	foldalign	1.000	1.000	1.000	1.000	1.000
BX005001.6_77367-77421	AL928701.7_182087-182139	foldalign	1.000	1.000	1.000	1.000	1.000
BX005477.7_164801-164747	AB001858.1_305-359	foldalign	1.000	1.000	1.000	1.000	1.000
M28193.1_1-119	X52302.1_2-117	foldalign	0.750	0.750	0.750	0.744	0.744
L28915.1_338-394	AJ291720.1_9590-9646	foldalign	1.000	1.000	1.000	1.000	1.000
M11545.1_4-118	M32450.1_1-119	foldalign	0.625	0.658	0.641	0.631	0.631
M55314.1_21-92	J01390.1_6861-6932	foldalign	1.000	1.000	1.000	1.000	1.000
X03190.1_738-794	AY047314.1_477-533	foldalign	1.000	1.000	1.000	1.000	1.000
X12977.1_475-548	U32694.1_2454-2526	foldalign	1.000	1.000	1.000	1.000	1.000
M24605.1_96-202	L22252.1_132-235	foldalign	1.000	1.000	1.000	1.000	1.000
AY062275.1_288-534	AY062273.1_288-534	foldalign	0.000	0.000	0.000	0.000	-0.007
AY206654.1_65-148	AY173956.1_101-184	foldalign	1.000	1.000	1.000	1.000	1.000
X06428.1_229-300	M20954.1_1-74	foldalign	0.952	1.000	0.976	0.975	0.975
L37445.1_4-118	X13034.1_1-119	foldalign	0.614	0.675	0.644	0.634	0.634
AL132988.4_95773-95841	AJ235316.1_1023-1090	foldalign	1.000	1.000	1.000	1.000	1.000
AY302545.1_7315-7435	AY302549.1_7306-7426	foldalign	1.000	1.000	1.000	1.000	1.000
X51471.1_6754-6681	X61068.1_393-465	foldalign	0.000	0.000	0.000	0.000	-0.036
AY181081.1_46-97	M27323.1_1623-1674	foldalign	1.000	1.000	1.000	1.000	1.000
K02688.1_1-115	L37451.1_4-118	foldalign	0.256	0.263	0.260	0.242	0.242
AE015942.1_58651-58542	AE007806.1_8808-8702	foldalign	0.964	1.000	0.982	0.982	0.982
AB081376.1_266-517	AJ295199.1_273-524	foldalign	1.000	1.000	1.000	1.000	1.000
X61068.1_760-831	X00916.1_1570-1644	foldalign	1.000	1.000	1.000	1.000	1.000
M86494.1_1026-1092	AB042240.3_84552-84472	foldalign	0.000	0.000	0.000	0.000	-0.058
X13824.1_2-83	X16643.1_820-900	foldalign	0.320	0.333	0.327	0.308	0.308
X05535.1_1-118	M10438.1_2-120	foldalign	1.000	1.000	1.000	1.000	1.000
AC005311.3_17031-17335	AC005662.3_47366-47062	foldalign	0.364	0.386	0.375	0.371	0.371
AE014727.1_1898-2035	AP005220.1_114937-114792	foldalign	0.000	0.000	0.000	0.000	-0.031
M16530.1_8-123	K02687.1_1-115	foldalign	0.442	0.452	0.447	0.430	0.430
AP005033.1_201735-201896	AP001512.1_161758-161939	foldalign	0.000	0.000	0.000	0.000	-0.015
AF041468.1_43811-43739	X01120.1_76-149	foldalign	0.955	1.000	0.977	0.976	0.976
AC002341.3_6810-6881	AE008710.1_84-156	foldalign	1.000	1.000	1.000	1.000	1.000
M10436.1_2-120	X02243.1_3-118	foldalign	0.791	0.791	0.791	0.785	0.785
Z84254.1_1-250	AY145968.1_2-232	foldalign	0.000	0.000	0.000	0.000	-0.008
AF034440.1_1115-1181	K01727.1_129-57	foldalign	1.000	1.000	1.000	1.000	1.000
AY146064.1_1-218	L28058.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.008
L27169.1_1-121	M18170.1_1-119	foldalign	0.816	0.816	0.816	0.812	0.812
Z36079.1_181-110	L35909.1_103-174	foldalign	1.000	1.000	1.000	1.000	1.000
AB049357.1_1-68	AF164586.1_1190-1126	foldalign	0.435	0.455	0.445	0.420	0.420
M36155.1_1-117	X13222.1_1-121	foldalign	0.641	0.658	0.649	0.640	0.640
J04815.1_1966-2036	X13888.1_63-151	foldalign	0.455	0.455	0.455	0.432	0.432
U81468.1_411-509	AF110963.1_68-166	foldalign	0.000	0.000	0.000	0.000	-0.019
M18050.1_100-172	U67517.1_7202-7276	foldalign	1.000	1.000	1.000	1.000	1.000
AJ276698.1_65-148	AF281682.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AF254700.1_513-611	AF239648.1_539-637	foldalign	1.000	1.000	1.000	1.000	1.000
U23385.1_2-306	L34390.1_1-279	foldalign	0.000	0.000	0.000	0.000	-0.007
AE017025.1_109350-109452	AY102616.1_4667-4777	foldalign	0.194	0.207	0.200	0.178	0.178
AB033416.1_2076-2219	AE015938.1_273488-273596	foldalign	0.000	0.000	0.000	0.000	-0.024
BX572605.1_160757-160849	AE011751.1_9456-9347	foldalign	0.000	0.000	0.000	0.000	-0.033
AF196778.1_2-154	AF306774.1_466-634	foldalign	0.000	0.000	0.000	0.000	-0.014
AF134759.1_1-181	AF041278.1_1-191	foldalign	0.784	0.755	0.770	0.767	0.767
M16495.1_2120-2233	AE016746.1_165122-165020	foldalign	0.000	0.000	0.000	0.000	-0.020
X51551.1_101-172	AE005470.1_8444-8372	foldalign	1.000	1.000	1.000	1.000	1.000
AY451148.1_146-229	M38429.1_854-937	foldalign	1.000	1.000	1.000	1.000	1.000
AF538840.1_1-91	AY302541.1_1-90	foldalign	1.000	1.000	1.000	1.000	1.000
X05059.1_1-119	X02238.1_3-118	foldalign	0.780	0.780	0.780	0.775	0.775
AY236365.1_1-293	Z84246.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.009
AJ131588.1_3-114	M36309.1_1-120	foldalign	0.725	0.707	0.716	0.707	0.707
AP001513.1_225753-225867	AC084406.7_91434-91300	foldalign	0.000	0.000	0.000	0.000	-0.026
X03715.1_1004-1077	Y00163.1_254-326	foldalign	1.000	1.000	1.000	1.000	1.000
AE014626.1_5916-5808	AE016960.1_296476-296583	foldalign	0.000	0.000	0.000	0.000	-0.039
X15245.1_36-152	M10202.1_3-117	foldalign	0.730	0.750	0.740	0.733	0.733
Z77063.1_1-197	U05031.1_1-360	foldalign	0.000	0.000	0.000	0.000	-0.009
AE001747.1_6884-6993	BX572604.1_199848-199986	foldalign	0.367	0.379	0.373	0.360	0.360
AP005345.1_54245-54147	U32782.1_8310-8397	foldalign	1.000	1.000	1.000	1.000	1.000
M59211.1_1348-1461	M68880.1_2362-2475	foldalign	1.000	1.000	1.000	1.000	1.000
M91385.1_1205-1276	X02167.1_345-416	foldalign	1.000	1.000	1.000	1.000	1.000
AB003409.1_96-167	V00158.1_694-623	foldalign	1.000	1.000	1.000	1.000	1.000
Z99110.2_31833-31941	M73546.1_221-329	foldalign	1.000	1.000	1.000	1.000	1.000
Z34533.1_38786-39082	U00064.1_12850-13146	foldalign	1.000	1.000	1.000	1.000	1.000
AF196745.1_455-510	L28874.1_360-416	foldalign	0.826	0.864	0.845	0.838	0.838
X02205.1_368-453	M32254.1_51-124	foldalign	0.500	0.500	0.500	0.485	0.485
AY278553.1_392-643	AY238473.1_393-644	foldalign	1.000	1.000	1.000	1.000	1.000
AY535751.1_171-222	AF323205.1_31-82	foldalign	1.000	1.000	1.000	1.000	1.000
AY140134.1_1158-1206	L11770.1_1290-1341	foldalign	0.667	1.000	0.833	0.811	0.811
AF000540.1_156-212	AY162225.1_9503-9559	foldalign	1.000	1.000	1.000	1.000	1.000
X51471.1_6754-6681	J01399.1_2867-2939	foldalign	0.000	0.000	0.000	0.000	-0.032
M87833.1_2781-2865	X52392.1_5025-5096	foldalign	0.348	0.364	0.356	0.318	0.318
AY275556.1_1296-1347	AY492772.1_840-891	foldalign	1.000	1.000	1.000	1.000	1.000
AF084707.1_65-148	AF128998.1_182-265	foldalign	1.000	1.000	1.000	1.000	1.000
X13975.1_858-928	X52392.1_1228-1297	foldalign	1.000	1.000	1.000	1.000	1.000
AF088897.1_10366-10481	D16558.1_6715-6832	foldalign	0.350	0.368	0.359	0.343	0.343
Z79545.1_65-148	AY463228.1_303-386	foldalign	1.000	1.000	1.000	1.000	1.000
AE014727.1_1898-2035	AE016953.1_48442-48336	foldalign	0.235	0.250	0.243	0.227	0.227
X92886.1_392-642	U16283.1_392-643	foldalign	0.988	1.000	0.994	0.994	0.994
AE009471.1_6144-5974	AE017152.1_157588-157680	foldalign	0.655	0.792	0.723	0.713	0.713
AF289550.1_8908-8964	AJ271369.1_131-186	foldalign	0.870	0.909	0.889	0.884	0.884
Y11511.1_115-268	D16558.1_2710-2862	foldalign	1.000	1.000	1.000	1.000	1.000
X05041.1_3-118	M33891.1_4-123	foldalign	0.921	0.946	0.933	0.932	0.932
Z50058.1_3-119	X02259.1_3-117	foldalign	1.000	1.000	1.000	1.000	1.000
K02362.1_1-121	X05527.1_1-120	foldalign	1.000	1.000	1.000	1.000	1.000
X01002.1_1-119	K03168.1_1-118	foldalign	1.000	1.000	1.000	1.000	1.000
X53463.1_847-903	X13710.1_946-1008	foldalign	0.529	0.529	0.529	0.507	0.507
D89936.1_1231-1150	AP003004.2_222291-222372	foldalign	1.000	1.000	1.000	1.000	1.000
AF457069.1_1284-1335	AF075702.1_1407-1458	foldalign	1.000	1.000	1.000	1.000	1.000
AE017007.1_287994-288186	AE010489.1_2647-2468	foldalign	0.000	0.000	0.000	0.000	-0.016
AF484486.1_8768-8824	AF321523.1_456-512	foldalign	1.000	1.000	1.000	1.000	1.000
AY253856.1_65-148	AB081218.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
BX571861.1_7126-7022	AE017200.1_98337-98247	foldalign	0.926	1.000	0.963	0.961	0.961
X17239.1_14-300	AP000988.1_199418-199133	foldalign	0.078	0.082	0.080	0.073	0.073
D11414.1_117-219	AE003940.1_637-734	foldalign	0.943	0.971	0.957	0.955	0.955
AF326159.1_63-146	AY288863.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
X02264.1_3-118	J01851.1_1-119	foldalign	0.694	0.694	0.694	0.688	0.688
AF460974.1_232-315	AF084702.1_64-148	foldalign	0.909	1.000	0.955	0.952	0.952
K01537.1_51-169	AF101250.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
BX842577.1_344457-344587	AE017232.1_187112-187234	foldalign	0.000	0.000	0.000	0.000	-0.017
AY038237.1_65-148	Z79533.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AE008886.1_9662-9735	M68929.1_50694-50622	foldalign	1.000	1.000	1.000	1.000	1.000
AL445066.1_239884-239777	AL583918.1_33385-33496	foldalign	0.407	0.423	0.415	0.403	0.403
AE007798.1_8173-8025	AF109218.1_4405-4502	foldalign	0.000	0.000	0.000	0.000	-0.015
U37541.1_1383-1322	Z00044.1_68888-68815	foldalign	0.810	0.810	0.810	0.800	0.800
X02039.1_3-118	X06688.1_3-118	foldalign	0.270	0.270	0.270	0.258	0.258
AP005345.1_54245-54147	AL445563.1_260054-259948	foldalign	0.000	0.000	0.000	0.000	-0.025
X66375.1_99-169	X53649.1_160-231	foldalign	0.000	0.000	0.000	0.000	-0.030
AF396436.1_528-448	J01404.1_5140-5204	foldalign	0.273	0.273	0.273	0.240	0.240
AP004824.1_261550-261653	AE015940.1_18048-17945	foldalign	0.844	0.871	0.857	0.853	0.853
AE016745.1_287368-287470	AP004828.1_56121-56010	foldalign	1.000	1.000	1.000	1.000	1.000
AY145958.1_1-213	L38349.1_3-288	foldalign	0.000	0.000	0.000	0.000	-0.009
X16886.1_1215-1285	X02168.1_63-135	foldalign	1.000	1.000	1.000	1.000	1.000
X03715.1_926-998	X04465.1_90332-90261	foldalign	1.000	1.000	1.000	1.000	1.000
AF442568.1_8945-9001	AF196726.1_454-510	foldalign	1.000	1.000	1.000	1.000	1.000
AE002112.1_7386-7290	AP003584.1_338551-338455	foldalign	0.676	0.735	0.705	0.694	0.694
AF254682.1_418-474	AY118156.1_2-57	foldalign	1.000	1.000	1.000	1.000	1.000
AE003471.3_169154-169225	AJ400848.1_29178-29105	foldalign	1.000	1.000	1.000	1.000	1.000
AF349329.1_33-84	AJ276595.1_1390-1441	foldalign	1.000	1.000	1.000	1.000	1.000
AP003191.2_70270-70167	AE016836.1_195900-195996	foldalign	0.000	0.000	0.000	0.000	-0.021
M10217.1_7325-7260	X62566.1_248-320	foldalign	0.500	0.500	0.500	0.473	0.473
X01003.1_1-119	V00648.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
X67706.1_7281-7402	AY302558.1_7298-7418	foldalign	0.143	0.143	0.143	0.130	0.130
AY358059.1_1284-1335	AY519097.1_46-97	foldalign	1.000	1.000	1.000	1.000	1.000
M55514.1_2727-2840	Y07588.1_172-285	foldalign	0.000	0.000	0.000	0.000	-0.018
X06477.1_503-698	X56458.1_91-238	foldalign	0.351	0.419	0.385	0.377	0.377
AL939124.1_163164-163269	AP002998.2_95169-95056	foldalign	0.353	0.353	0.353	0.337	0.337
AY005806.1_723-797	X04465.1_73150-73215	foldalign	0.000	0.000	0.000	0.000	-0.035
AF484511.1_8725-8781	AF286228.1_8921-8977	foldalign	1.000	1.000	1.000	1.000	1.000
X72929.1_1233-1258	X15634.1_1233-1258	foldalign	1.000	1.000	1.000	1.000	1.000
AE010545.1_3397-3317	AP003015.2_179461-179552	foldalign	0.000	0.000	0.000	0.000	-0.035
U37541.1_1383-1322	X61674.1_1095-1008	foldalign	0.478	0.647	0.563	0.530	0.530
X56981.1_102-383	AP000996.2_169413-169130	foldalign	0.000	0.000	0.000	0.000	-0.017
AY169814.1_328-411	AB081218.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AE003745.3_26197-26359	X14412.1_180-340	foldalign	0.000	0.000	0.000	0.000	-0.014
AJ131586.1_3-115	AF134704.1_5562-5676	foldalign	0.515	0.500	0.508	0.498	0.498
M24954.1_1-119	X00864.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AJ006323.1_1-251	U51780.1_1-206	foldalign	0.000	0.000	0.000	0.000	-0.009
AF361874.1_1274-1325	AF286238.1_1444-1495	foldalign	1.000	1.000	1.000	1.000	1.000
AF024244.1_90-141	AF349390.1_33-84	foldalign	1.000	1.000	1.000	1.000	1.000
AF063149.1_455-511	AF462790.1_738-793	foldalign	1.000	1.000	1.000	1.000	1.000
M10217.1_7015-7083	M16333.1_1-74	foldalign	1.000	1.000	1.000	1.000	1.000
Z49705.1_23030-22957	K01941.1_217-303	foldalign	0.360	0.375	0.367	0.341	0.341
AF196778.1_2-154	AF468917.1_611-763	foldalign	0.227	0.227	0.227	0.217	0.217
AP004172.1_250747-250650	AE005876.1_3727-3622	foldalign	0.000	0.000	0.000	0.000	-0.027
AY463224.1_28-126	AF385934.1_620-718	foldalign	1.000	1.000	1.000	1.000	1.000
M86498.1_1-69	K01637.1_819-890	foldalign	1.000	1.000	1.000	1.000	1.000
AL591676.10_16205-16259	AL928834.15_187161-187215	foldalign	1.000	1.000	1.000	1.000	1.000
M84834.1_1-321	L27875.1_1-232	foldalign	0.000	0.000	0.000	0.000	-0.007
AY190391.1_4-181	Z84273.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.010
AJ430385.1_389-639	X90723.2_393-644	foldalign	0.000	0.000	0.000	0.000	-0.008
AF448782.1_393-644	X89534.1_277-528	foldalign	0.000	0.000	0.000	0.000	-0.007
AE017236.1_265189-265430	AE016932.1_22310-22515	foldalign	0.000	0.000	0.000	0.000	-0.021
AJ241840.1_56-3	AJ241831.1_56-3	foldalign	1.000	1.000	1.000	1.000	1.000
AB057616.1_1720-1756	D14484.1_9318-9354	foldalign	1.000	1.000	1.000	1.000	1.000
X03911.1_1-119	L27167.1_1-122	foldalign	0.725	0.725	0.725	0.719	0.719
M35166.1_2-110	X02238.1_3-118	foldalign	0.462	0.486	0.474	0.461	0.461
J01390.1_11761-11831	J01390.1_12417-12498	foldalign	0.458	0.458	0.458	0.434	0.434
D16616.1_3-309	AF134750.1_1-181	foldalign	0.000	0.000	0.000	0.000	-0.010
AB057609.1_1528-1593	S62220.1_9137-9202	foldalign	1.000	1.000	1.000	1.000	1.000
L23117.1_1024-1069	X15620.1_19-62	foldalign	0.000	0.000	0.000	0.000	-0.060
U51030.1_22201-22130	M22010.1_3034-3106	foldalign	0.864	0.950	0.907	0.903	0.903
Z35950.1_5070-5141	M16863.1_456-385	foldalign	1.000	1.000	1.000	1.000	1.000
AL132798.2_14445-14516	M18050.1_273-344	foldalign	0.810	0.680	0.745	0.732	0.732
BX005334.9_118172-118118	AL929222.6_146158-146212	foldalign	1.000	1.000	1.000	1.000	1.000
M55314.1_21-92	AE008848.1_725-797	foldalign	1.000	1.000	1.000	1.000	1.000
AY188170.1_2-196	AF041266.1_1-191	foldalign	0.919	0.950	0.935	0.934	0.934
AF408632.1_261-377	AF110979.1_69-186	foldalign	0.400	0.316	0.358	0.345	0.345
J01390.1_12028-12098	X04779.1_1-73	foldalign	1.000	1.000	1.000	1.000	1.000
AJ405959.1_1-52	AJ535027.1_23-74	foldalign	1.000	1.000	1.000	1.000	1.000
AB030907.1_1-391	X78867.1_2-193	foldalign	0.636	0.627	0.632	0.628	0.628
M13136.1_852-935	AF063224.1_218-301	foldalign	1.000	1.000	1.000	1.000	1.000
M35573.1_1-119	X02241.1_3-119	foldalign	0.634	0.684	0.659	0.651	0.651
M36311.1_2-120	D10535.1_1-121	foldalign	0.976	1.000	0.988	0.987	0.987
M58383.1_4-115	Z11820.1_5-112	foldalign	0.486	0.500	0.493	0.477	0.477
M17129.1_151-222	X04377.1_307-380	foldalign	1.000	1.000	1.000	1.000	1.000
AY165210.1_238-289	AY518958.1_46-97	foldalign	1.000	1.000	1.000	1.000	1.000
X00074.1_1-118	M16532.1_2-117	foldalign	0.800	0.800	0.800	0.795	0.795
AE010126.1_9583-9877	AE000940.1_8761-9056	foldalign	0.165	0.167	0.166	0.159	0.159
AY451104.1_148-231	AY352656.1_218-301	foldalign	1.000	1.000	1.000	1.000	1.000
AB015939.1_65-148	AF470703.1_44-127	foldalign	1.000	1.000	1.000	1.000	1.000
Z11884.1_254-326	X15901.1_44438-44524	foldalign	0.000	0.000	0.000	0.000	-0.035
Z84287.1_1-250	U14782.1_1-239	foldalign	0.944	0.958	0.951	0.951	0.951
X15613.1_1252-1313	AF340025.1_630-698	foldalign	0.000	0.000	0.000	0.000	-0.047
U81279.1_1-220	AF041292.1_1-190	foldalign	0.000	0.000	0.000	0.000	-0.012
AF484493.1_1290-1341	AF377959.1_1281-1332	foldalign	1.000	1.000	1.000	1.000	1.000
AE017013.1_198598-198699	U32782.1_8310-8397	foldalign	0.130	0.143	0.137	0.115	0.115
X54035.1_52-153	AE001862.1_178389-178274	foldalign	0.057	0.062	0.060	0.036	0.036
AF110978.1_182-299	AF075702.1_14-132	foldalign	0.154	0.158	0.156	0.140	0.140
M76569.1_4-118	X52297.1_1-116	foldalign	0.447	0.447	0.447	0.436	0.436
U14784.1_1-239	AY438098.1_5-221	foldalign	0.000	0.000	0.000	0.000	-0.009
AY519021.1_46-97	L11785.1_1302-1353	foldalign	1.000	1.000	1.000	1.000	1.000
